customer_id,email,city,signup_date,channel
1,customer00001@example.com,Phuket,2024-01-01,ads
2,customer00002@example.com,Udon Thani,2024-01-01,ads
3,customer00003@example.com,Bangkok,2024-01-01,organic
4,customer00004@example.com,Chiang Mai,02/01/2024,organic
5,customer00005@example.com,Khon Kaen,02/01/2024,organic
6,customer00006@example.com,Bangkok,03/01/2024,referral
7,customer00007@example.com,Udon Thani,03/01/2024,ads
8,customer00008@example.com,Bangkok,2024-01-03,ads
9,customer00009@example.com,Chon Buri,2024-01-03,ads
10,customer00010@example.com,Bangkok,2024-01-04,organic
11,customer00011@example.com,Hat Yai,04/01/2024,ads
12,customer00012@example.com,Chiang Mai,04/01/2024,ads
13,customer00013@example.com,Bangkok,04/01/2024,organic
14,customer00014@example.com,Chon Buri,2024-01-05,referral
15,customer00015@example.com,Hat Yai,2024-01-05,ads
16,customer00016@example.com,Bangkok,2024-01-05,organic
17,customer00017@example.com,Chiang Mai,2024-01-06,organic
18,,UDON THANI,2024-01-06,organic
19,customer00019@example.com,Bangkok,07/01/2024,referral
19,customer00019@example.com,Bangkok,07/01/2024,referral
20,customer00020@example.com,Bangkok,2024/01/07,organic
21,customer00021@example.com,Bangkok,2024-01-07,organic
22,customer00022@example.com,Bangkok,2024-01-07,ads
23,customer00023@example.com,Bangkok,2024-01-07,ads
24,customer00024@example.com,Bangkok,2024-01-07,organic
25,customer00025@example.com,Khon Kaen,2024/01/08,organic
26,customer00026@example.com,Udon Thani,2024-01-08,organic
27,customer00027@example.com,Nakhon Ratchasima,08/01/2024,organic
28,customer00028@example.com,Chiang Mai,2024-01-08,organic
29,customer00029@example.com,Bangkok,2024-01-09,organic
30,customer00030@example.com,Phuket,2024/01/09,organic
31,customer00031@example.com,Bangkok,2024-01-09,organic
32,customer00032@example.com,Bangkok,2024/01/10,organic
33,customer00033@example.com,Bangkok,10/01/2024,organic
34,customer00034@example.com,Khon Kaen,2024-01-10,ads
35,customer00035@example.com,Bangkok,2024-01-10,organic
36,customer00036@example.com,Chon Buri,2024-01-10,ads
37,customer00037@example.com,Nakhon Ratchasima,2024-01-10,ads
38,customer00038@example.com,udon thani,2024-01-11,ads
39,customer00039@example.com,Bangkok,2024/01/12,organic
40,customer00040@example.com,Bangkok,2024-01-12,organic
41,customer00041@example.com,Bangkok,2024-01-12,ads
42,customer00042@example.com,Udon Thani,12/01/2024,referral
43,customer00043@example.com,Bangkok,12/01/2024,ads
44,customer00044@example.com,Nakhon Ratchasima,2024-01-12,ads
45,customer00045@example.com,Chiang Mai,2024-01-12,referral
46,customer00046@example.com,Bangkok,2024-01-12,organic
47,customer00047@example.com, Bangkok ,13/01/2024,organic
48,customer00048@example.com,Chon Buri,13/01/2024,ads
49,customer00049@example.com, Nakhon Ratchasima ,2024-01-13,ads
50,customer00050@example.com, Khon Kaen ,2024-01-13,organic
51,customer00051@example.com,Nakhon Ratchasima,2024-01-13,organic
52,customer00052@example.com,Chon Buri,2024-01-13,organic
53,customer00053@example.com,Hat Yai,2024-01-14,organic
54,customer00054@example.com,Bangkok,2024-01-14,ads
55,customer00055@example.com,Khon Kaen,14/01/2024,organic
56,customer00056@example.com,Khon Kaen,2024-01-14,organic
57,customer00057@example.com,Bangkok,2024-01-15,organic
58,customer00058@example.com,Bangkok,2024-01-16,organic
59,customer00059@example.com,,2024-01-16,ads
60,customer00060@example.com,Bangkok,2024-01-16,ads
61,customer00061@example.com,Bangkok,2024-01-16,ads
62,customer00062@example.com,Bangkok,2024-01-16,organic
63,customer00063@example.com,Bangkok,16/01/2024,organic
64,customer00064@example.com,,16/01/2024,organic
65,customer00065@example.com,Bangkok,2024/01/17,organic
66,customer00066@example.com,,2024-01-17,organic
67,customer00067@example.com,Bangkok,2024-01-17,organic
68,customer00068@example.com,Hat Yai,17/01/2024,organic
69,customer00069@example.com,Hat Yai,2024-01-18,referral
70,customer00070@example.com,Bangkok,2024/01/18,ads
